For node 0_eyes,For node 0_mouth,For node 0_forehead,For node 0_nose
"[7694, 6670, 536, 24, 28, 3612, 3620, 7211, 7214, 3630, 3643, 5691, 4155, 5179, 4156, 6204, 60, 4667, 3644, 68, 3652, 4171, 4174, 5198, 7246, 3579, 88, 4187, 6235, 4188, 4700, 5212, 7260, 3675, 5724, 7772, 7268, 3684, 4091, 3181, 6766, 5230, 7278, 5742, 4216, 5243, 5756, 6779, 6268, 6780, 7291, 3707, 3196, 7292, 5764, 5244, 6811, 7836, 4252, 5276, 671, 7323, 5628, 6308, 3748, 7851, 3245, 694, 696, 5304, 3256, 4283, 6844, 3772, 7868, 188, 4284, 2750, 5819, 710, 7163, 3277, 4302, 726, 2775, 728, 1241, 4827, 7388, 3293, 5851, 735, 5852, 2787, 7396, 3303, 3304, 3307, 8188, 3309, 5870, 758, 2807, 248, 6395, 251, 4347, 4859, 6908, 767, 3324, 3325, 2819, 4356, 4868, 3336, 3341, 4366, 4878, 2839, 792, 1305, 4379, 4891, 797, 2846, 799, 5755, 4388, 805, 3367, 3373, 5934, 7982, 4411, 3900, 6460, 6459, 6972, 4924, 2878, 831, 7483, 5436, 6468, 6980, 5444, 3399, 3403, 3405, 6478, 851, 854, 3414, 8024, 6491, 4443, 4956, 8028, 863, 6500, 5476, 3431, 7534, 888, 3448, 6523, 7548, 6524, 379, 4475, 4987, 895, 5499, 5500, 7044, 3458, 8068, 3468, 3469, 5006, 5518, 5372, 7579, 5531, 7580, 3995, 6043, 8092, 8091, 6555, 7067, 3484, 5883, 430, 952, 4539, 6587, 7611, 7612, 8123, 8124, 964, 5060, 6086, 8132, 462, 3580, 984, 3452, 4059, 6619, 4571, 6620, 4572, 7131, 3548, 5596, 7931, 3556, 3963, 6139, 7676]","[4622, 4110, 2062, 6670, 7694, 536, 3620, 7726, 7214, 4142, 6190, 3118, 3630, 2555, 2107, 60, 4156, 6204, 4667, 571, 1595, 3643, 3644, 68, 2126, 590, 1102, 7246, 7758, 3579, 4188, 4700, 5212, 7260, 5724, 7772, 4091, 6766, 5230, 7278, 5742, 4216, 5243, 5244, 5755, 6779, 6268, 5248, 3196, 3707, 4739, 4228, 4229, 4740, 5251, 5766, 654, 1166, 4240, 5263, 1691, 7836, 3227, 2204, 668, 3228, 4769, 7323, 5628, 3748, 4261, 2744, 4793, 5305, 3259, 7868, 188, 3772, 4285, 4287, 1212, 4307, 4821, 6871, 4312, 4825, 7676, 4317, 7398, 6893, 3310, 6899, 2808, 4857, 251, 1787, 6909, 7931, 6925, 7437, 7950, 6931, 6935, 795, 6941, 5756, 6433, 4389, 6951, 6955, 3374, 7982, 6963, 6967, 2360, 6970, 1339, 3387, 7484, 2363, 3900, 827, 2876, 6780, 6973, 4415, 6983, 7495, 7496, 6989, 7501, 1358, 4438, 8024, 4442, 2395, 1884, 860, 3419, 1372, 4960, 4961, 5472, 8028, 4453, 6502, 5478, 6504, 4457, 4969, 4459, 4971, 7020, 5481, 7534, 7024, 6513, 3438, 5492, 4985, 4986, 3451, 2428, 892, 4990, 4479, 3963, 4993, 7046, 5000, 5512, 5002, 4491, 6539, 5003, 7051, 5006, 5008, 6027, 4504, 7067, 3483, 7580, 1947, 6044, 7579, 3995, 8092, 2460, 923, 924, 430, 5038, 3502, 1966, 7611, 8123, 6587, 1980, 8124, 955, 3003, 3004, 3515, 7612, 1476, 5993, 462, 5691, 2011, 4059, 6619, 2524, 4572, 7131, 1499, 3547, 3548, 5596, 1518, 7163, 3580]","[2571, 2062, 3620, 4155, 2107, 4667, 3643, 3579, 2139, 7260, 4188, 3675, 7772, 4700, 7268, 7291, 5244, 3196, 5764, 3227, 2204, 5276, 7323, 6308, 3748, 1709, 1207, 3260, 1735, 1741, 1239, 5851, 7676, 1757, 1762, 2276, 7396, 1773, 1271, 2808, 5883, 1283, 2308, 4356, 1799, 1805, 1301, 4379, 1821, 1826, 4388, 1831, 2360, 3387, 7483, 1853, 6460, 1343, 6468, 6980, 5444, 1863, 1367, 8024, 2395, 6491, 1379, 6500, 5476, 1901, 5499, 2428, 7548, 3452, 8068, 1932, 1933, 7067, 8092, 3483, 7579, 7580, 5060, 8132, 6086, 4059, 6619, 2524, 7131, 3547, 3556, 4091, 3580]","[4622, 2062, 6670, 7694, 536, 28, 3612, 3620, 4142, 3118, 7214, 7726, 4667, 2107, 6204, 4156, 60, 3643, 4155, 3644, 1595, 68, 3068, 590, 4174, 2126, 5198, 88, 5720, 2460, 2139, 7772, 2652, 4188, 4700, 1116, 5212, 7260, 3675, 5724, 6766, 5230, 7278, 5742, 4216, 5243, 5244, 6268, 6780, 3196, 3712, 7292, 3707, 2179, 2180, 4227, 4228, 4230, 4739, 2692, 4740, 2694, 4742, 1668, 654, 2191, 3215, 3729, 2194, 3218, 1166, 5263, 4759, 7320, 6811, 7836, 156, 668, 6300, 7323, 3233, 3234, 3746, 5628, 5293, 3765, 4791, 4281, 2745, 3257, 188, 6844, 1211, 1212, 5309, 5819, 7868, 5324, 7374, 1750, 5851, 6364, 7388, 7676, 5852, 4321, 1762, 3912, 1765, 5351, 5357, 5870, 5363, 3203, 1782, 248, 3204, 251, 6395, 763, 764, 6908, 5373, 1279, 5883, 1789, 1791, 1797, 5383, 1801, 7438, 3921, 3718, 1814, 4887, 6936, 795, 5755, 5405, 1821, 1823, 5756, 5415, 5421, 6958, 5934, 7982, 5430, 1336, 827, 6460, 1339, 6972, 7483, 2878, 6459, 5437, 1855, 7484, 3902, 3904, 4421, 4416, 3401, 3913, 4425, 3397, 3400, 2377, 1870, 4424, 1865, 2889, 7291, 4433, 5452, 1358, 6478, 3415, 5456, 4442, 4439, 4437, 3417, 3927, 4951, 3929, 1372, 3930, 3418, 3934, 860, 3421, 3422, 4446, 3425, 3937, 4454, 4456, 1899, 4957, 2411, 4459, 2923, 7534, 3952, 3435, 3942, 5499, 2428, 6524, 892, 3452, 5500, 7548, 3963, 3944, 5006, 5518, 6491, 3947, 1947, 3995, 7580, 6555, 6044, 8092, 923, 7067, 3483, 7579, 924, 430, 2990, 5038, 3502, 1966, 8024, 6587, 3003, 3004, 3515, 7612, 8123, 1980, 8124, 8028, 462, 4558, 5691, 2011, 4059, 2524, 6620, 4572, 7131, 3547, 3548, 5596, 7932, 1518, 4091, 3580]"
"[2590, 6697, 7721, 3625, 7742, 4169, 7241, 3657, 5705, 7753, 3678, 3182, 3184, 5769, 7305, 3214, 4777, 6825, 7849, 3753, 3242, 3246, 3250, 4798, 5822, 3267, 3271, 5833, 3278, 7891, 1242, 2781, 3806, 736, 1253, 3303, 4329, 6377, 6889, 5353, 3306, 3310, 3312, 3314, 3316, 757, 3321, 1275, 2813, 770, 6921, 7945, 2829, 3342, 783, 3344, 7443, 789, 791, 3353, 3354, 1307, 796, 2845, 800, 3364, 6953, 3370, 7465, 5417, 821, 823, 3385, 1339, 828, 829, 2877, 3902, 6473, 3406, 855, 860, 2909, 7006, 3427, 361, 6505, 3438, 3440, 1402, 1403, 892, 5001, 7049, 911, 919, 924, 2973, 6046, 7081, 6057, 8137, 3025, 8147, 6633, 2537, 3049, 5097, 7145, 3561, 5609, 4094]","[6915, 6787, 6919, 7438, 4367, 4754, 3091, 6804, 5269, 6548, 4375, 5524, 4765, 4766, 6046, 5278, 6814, 6823, 1961, 7721, 2089, 7849, 3241, 4781, 2857, 7466, 7470, 4399, 6960, 7472, 6962, 4277, 4280, 6969, 4795, 4925, 7742, 7492, 4933, 6983, 7495, 7753, 3657, 5705, 2121, 7241, 6989, 7376, 6992, 7504, 8147, 6868, 4309, 4439, 4827, 4444, 4957, 3678, 7390, 3806, 7005, 4449, 7081, 4343, 3049, 7145, 3561, 7020, 5609, 4335, 6896, 6513, 5489, 4981, 4471, 7033, 4476, 4094]","[1795, 1927, 6921, 1802, 5001, 1806, 1808, 1812, 1817, 1309, 6046, 1831, 7721, 6697, 7081, 1962, 1838, 1712, 1849, 5822, 7742, 1731, 2121, 7241, 7753, 1738, 8137, 1742, 1870, 1746, 2515, 8147, 1753, 1117, 3678, 3806, 1248, 7006, 1763, 1891, 1767, 4329, 1770, 1259, 3049, 3561, 1904, 1778, 4723, 1785, 1786, 4094]","[3091, 7721, 3625, 2089, 6697, 7753, 3657, 5705, 2121, 7241, 1129, 4227, 5251, 3715, 4747, 5262, 4754, 5266, 2709, 4757, 3221, 3733, 5269, 2205, 3742, 4254, 4765, 4766, 5278, 2717, 7849, 6825, 3757, 5294, 4781, 5296, 5300, 5305, 4797, 5319, 5326, 5328, 5332, 5337, 6377, 5354, 5358, 1263, 1786, 1276, 1788, 1789, 1792, 1794, 5379, 6921, 5390, 1295, 5392, 1819, 1820, 4893, 5411, 6953, 1335, 4925, 3392, 1857, 3904, 4429, 4433, 4945, 3409, 3413, 4949, 4957, 4455, 6505, 1385, 3441, 3953, 4468, 2932, 4981, 3956, 3957, 4476, 2940, 3965, 3964, 5001, 3465, 7081, 1961, 8137, 8147, 3049, 7145, 3561, 5609]"
"[2818, 1283, 3334, 2823, 3336, 3339, 911, 915, 918, 920, 793, 2724, 3365, 3366, 3493, 3368, 3243, 3371, 2734, 691, 822, 825, 3265, 3393, 3269, 3270, 3397, 712, 3398, 1226, 3275, 2887, 3403, 2766, 719, 2510, 723, 851, 726, 857, 889, 3169, 3297, 1250, 1251, 1379, 3302, 2791, 3303, 3307, 751, 883, 888, 761, 758, 760, 633, 766]","[7425, 6916, 7045, 7430, 6918, 4744, 6797, 4750, 6008, 4374, 4991, 4377, 7329, 7457, 4899, 7462, 4264, 7464, 6953, 6955, 4403, 4276, 4280, 4408, 6968, 4409, 6975, 7361, 7489, 4803, 4931, 6854, 4296, 4938, 6987, 6986, 6990, 4303, 4431, 4944, 4945, 4307, 4435, 4436, 4437, 4438, 4468, 4313, 4446, 4963, 4982, 6510, 5486, 6512, 7022, 4976, 4977, 6001, 4339, 6518, 5494, 4472, 4345, 4467, 5491, 6003, 4469, 6006, 6527]","[1921, 1284, 1798, 1802, 1807, 1935, 1811, 1697, 1825, 1828, 1702, 1319, 1830, 1835, 1326, 1838, 1848, 1729, 1223, 1351, 1867, 1870, 1245, 1761, 1889, 1766, 1894, 1768, 1769, 1383, 1771, 1896, 1899]","[5253, 4744, 3208, 4232, 5256, 3720, 5261, 2702, 1679, 1692, 2204, 3740, 3744, 5284, 5285, 4775, 5288, 5291, 4781, 5294, 4786, 5316, 5317, 5318, 4807, 5320, 5322, 5323, 4831, 5345, 1763, 1768, 5355, 237, 1267, 1782, 1273, 1790, 1792, 1795, 5384, 5387, 1811, 1813, 1814, 1816, 4895, 5409, 5414, 1843, 1332, 1844, 1846, 1845, 1848, 4927, 5441, 3906, 4930, 2884, 3908, 1861, 5446, 4420, 3913, 4937, 5454, 4430, 3406, 3918, 4432, 1877, 2902, 3414, 4440, 3926, 4950, 1881, 3419, 4959, 2917, 3429, 4453, 4965, 4470, 2934, 3446, 3958, 3960, 4479, 2943, 4991, 3455]"
[],"[67, 110, 82, 52, 125]","[4, 112, 50, 52, 127]","[25, 82, 84]"
"[8, 15, 109, 23]","[66, 99, 100, 103, 74, 108, 19, 89, 58, 126]","[102, 42, 49, 82, 52, 56]","[61, 121, 19, 13]"
"[11, 127]","[99, 36, 5, 102, 40, 42, 106, 45, 109, 110, 86, 118, 59, 124, 31]","[66, 102, 11, 43, 76, 109, 114, 84]","[99, 69, 73, 11, 113, 20, 53, 95]"
[],"[67, 110, 82, 52, 125]","[4, 112, 50, 52, 127]","[25, 82, 84]"
"[8, 15, 109, 23]","[66, 99, 100, 103, 74, 108, 19, 89, 58, 126]","[102, 42, 49, 82, 52, 56]","[61, 121, 19, 13]"
"[11, 127]","[99, 36, 5, 102, 40, 42, 106, 45, 109, 110, 86, 118, 59, 124, 31]","[66, 102, 11, 43, 76, 109, 114, 84]","[99, 69, 73, 11, 113, 20, 53, 95]"
[],[],[],[]
[],[],[],[]
[],[],[],[]
[],[],[],[]
[],[],[],[]
[],[],[],[]
[],[],[],[]
[0],[0],[0],[0]
[],[],[],[]
[],[],[],[]
[],[],[],[]
[],[],[],[]
